depmap_id	OLIGOMYCIN-A	IACS-10759	RESPIRATORY CHAIN COMPLEX I	HALLMARK GLYCOLYSIS	AltEJ
ACH-000001	0.2653722	-0.2538311	-0.0345637383235758	-0.188193483658946	-0.645390606858423
ACH-000002	NA	-0.4326366	0.64491866517428	-1.73993897952821	2.06891229503519
ACH-000004	NA	-0.9126635	-0.157846587713997	-2.08149550490598	0.821331741444326
ACH-000005	NA	-2.567084	-0.969482339360731	-1.81560694491096	1.07914463770248
ACH-000006	NA	-0.918536	-0.925114631943761	-1.15171788483743	1.15075189258122
ACH-000007	-2.4647415	-0.7937568	1.32818635139165	0.334083218819753	-0.388219589410087
ACH-000008	-1.2544916	-0.8335256	-0.122116552945901	0.412678108334026	-0.120316741702649
ACH-000011	-0.3603161	-3.7503816	0.844057352202597	0.556530218757008	0.0847936992332237
ACH-000012	0.8143186	-0.2489253	-0.718261443869593	1.48650168069766	-0.638622764986892
ACH-000013	-1.0822725	-0.5922061	0.099170783467028	-0.00537906246683099	0.201998910005202
ACH-000014	-0.6913673	-0.8656578	-0.63763798422057	0.823518682723397	-0.873662214567483
ACH-000015	-1.177874	-4.284695	-0.210035298429082	-1.17377348937241	0.879651698739845
ACH-000018	0.3342806	-1.5199385	-0.0748565174546135	0.279534326588119	0.919035635937042
ACH-000019	-2.4809	-1.089829	0.688750991988681	0.525611424298501	0.0484000410276524
ACH-000021	-1.624994	-0.140489	0.181490781255627	0.145293990536089	-0.856071506292907
ACH-000022	-1.23107066	-0.04817774	0.907959797085997	-0.257973481531454	0.424025645014079
ACH-000023	-2.849112	-3.127434	0.654602065966831	-0.417182731193489	1.05675908869862
ACH-000025	NA	-3.1855	0.679820254796659	0.530035199780881	0.398468110487469
ACH-000026	-0.01759789	-2.84805072	0.497636717699391	0.295725559251674	0.638848077138379
ACH-000027	0.09619656	-0.97718102	1.07382211491014	-0.0888064576397192	-0.351356404066483
ACH-000030	-0.9534994	-2.9699832	-0.0907810097657014	1.19537422140922	0.0335049518917796
ACH-000035	-0.5021591	-1.6620021	-0.174699152820147	1.20882908967044	-0.0885840507638531
ACH-000036	NA	-1.378871	-0.446252294152057	2.0157082840697	-0.764048435622385
ACH-000037	0.2442667	-2.5684302	-1.45727715943411	1.30059118592328	-0.0820313311895181
ACH-000039	NA	-1.56586	0.480680172743562	-0.991097108216812	1.02129432649465
ACH-000040	0.2506229	-1.772914	-0.876340346054829	0.207588238582481	0.622436329082124
ACH-000041	0.5126638	-1.4288285	0.0693439750427669	-1.36655122434713	0.83681781941686
ACH-000042	0.5155377	-0.0161391	-1.45191300706122	0.579201293383308	-0.42247338618148
ACH-000046	-0.8582329	-1.317267	-1.11498809569709	0.662085800096362	-0.641255837706764
ACH-000048	-1.637182	-2.244911	0.466742065543922	-1.1905461648857	0.150719173269866
ACH-000051	NA	-3.38316	-0.0759161854592377	-0.924234180278728	-0.0278501469649152
ACH-000052	1.0482049	-0.5214646	1.15855810928806	-0.632882637355419	0.481398187568381
ACH-000052	1.0482049	-0.5214646	1.15855810928806	-0.632882637355419	0.481398187568381
ACH-000053	NA	-3.302331	-0.702267186315571	-1.12621300000955	0.20836183224564
ACH-000054	-0.4227478	-3.4375583	-0.309812963849721	0.723958606294806	0.357276966300603
ACH-000056	NA	-2.195183	-0.824611888589788	-2.73872209958811	2.13122052848186
ACH-000059	NA	-0.8737857	0.00599101363347	-2.35012206316571	1.77704603501401
ACH-000060	1.157201	-2.393704	0.487809520511649	0.071848414220927	1.19279039141764
ACH-000061	NA	-0.4168542	0.861064501578163	-2.00728186928149	2.46840546549582
ACH-000062	-1.057334	-3.236582	0.636061348164566	1.17192566143632	-0.862517994579688
ACH-000065	NA	-1.212338	-0.122613251816244	-1.77277421482886	0.567676003568588
ACH-000066	0.2047959	-0.3387869	-0.366288841836025	1.68682988275886	-0.71980483934463
ACH-000067	NA	-1.66514	-0.00839619549645427	0.787004741381234	-0.366977826649238
ACH-000069	NA	0.3299112	0.078200874262103	-2.19434913001652	1.58388864722195
ACH-000070	NA	-0.3608985	0.821870095037262	-2.07548424663784	2.03133745234386
ACH-000072	NA	-3.792683	-0.794026759532966	-1.73860395191869	0.866832421613311
ACH-000073	NA	-0.4924949	-1.10158815210332	-1.93152630052365	0.871586400196364
ACH-000074	NA	-6.005516	-0.422081602875731	-2.43835614489081	0.684253666043909
ACH-000075	0.6662276	-0.892166	0.791227457956105	1.09448798463396	-0.115696869596372
ACH-000076	NA	-1.890347	-2.00304549848767	-1.83030695713788	0.445907778185386
ACH-000078	-0.730465	-0.443622	-3.13178511780652	-1.63560921465525	-0.920475510802041
ACH-000080	NA	-1.412189	1.12987890470648	-1.34237673475871	1.31843313165855
ACH-000082	0.9432213	0.3471364	-0.239713577144982	0.238603209898805	0.709778747583738
ACH-000082	0.9432213	0.3471364	-0.239713577144982	0.238603209898805	0.709778747583738
ACH-000086	0.7378169	-3.7739443	1.15289897891732	-0.149535955597439	-0.837042894552802
ACH-000087	0.9103008	-0.6179007	-0.0641124662066229	-1.2946763326933	1.22290016690848
ACH-000087	0.9103008	-0.6179007	-0.0641124662066229	-1.2946763326933	1.22290016690848
ACH-000090	-1.4155025	0.1333354	0.129892112079521	1.35358787797274	0.401520935383835
ACH-000091	-0.2649025	-2.1943453	-0.322489517594834	1.05049984576461	-2.27703027655261
ACH-000092	0.381022	-0.9580301	-0.627795160019096	0.386611381100779	-0.303756297601194
ACH-000093	NA	-1.292591	-1.96913948492182	-0.253447716767759	-3.06846549320972
